DOI,Title,Publication Name,Cover Date
doi:10.1016/j.fuel.2022.124157,"Inhibition effect of naphthalene on V2O5-WO3/TiO2 catalysts for low-temperature NH3-SCR of NO
                  x
               
             ",Fuel,2022/8/15
doi:10.1016/j.chemosphere.2021.133156,Improvement of Al2O3 on the multi-pollutant control performance of NOx and chlorobenzene in vanadia-based catalysts ,Chemosphere,2022/2/28
doi:10.1016/j.apcata.2014.01.022,Selective oxidation of formaldehyde to formic acid over supported vanadia catalysts ,Applied Catalysis A: General,2014/4/5
doi:10.1016/j.jece.2021.106621,Insight into the role of WO3 on catalytic performance over CuO-CeO2 catalyst for NH3 selective catalytic oxidation reaction ,Journal of Environmental Chemical Engineering,2021/12/31
doi:10.1016/j.catcom.2014.07.033,"Novel Pd–Au/TiO2 catalyst for the selective catalytic reduction of NOx by H2
             ",Catalysis Communications,2014/12/5
doi:10.1016/S0926-3373(02)00197-2,"Effect of Pd on the water tolerance of Co-ferrierite catalyst for NO reduction by CH4
             ",Applied Catalysis B: Environmental,2003/3/10
doi:10.1016/j.clay.2009.12.005,Catalytic epoxidation of allylic alcohol (E)-2-Hexen-1-ol over vanadium supported on unsulfated and sulfated titanium pillared montmorillonite catalysts: Effect of sulfate groups and vanadium loading ,Applied Clay Science,2010/3/31
doi:10.1016/j.apcata.2009.09.027,"Immobilization of nanocatalysts on cordierite honeycomb monoliths for low temperature NO
                  x
                reduction ",Applied Catalysis A: General,2009/11/30
doi:10.1016/j.apcata.2018.07.022,Elemental mercury catalytic oxidation removal and SeO2 poisoning investigation over RuO2 modified Ce-Zr complex ,Applied Catalysis A: General,2018/8/25
doi:10.1016/j.jhazmat.2017.08.080,Uniform dispersion of cobalt nanoparticles over nonporous TiO2 with low activation energy for magnesium sulfate recovery in a novel magnesia-based desulfurization process ,Journal of Hazardous Materials,2018/1/15
doi:10.1016/j.psep.2022.03.005,Enhanced performance of Nb2O5 decorated RuO2/Sn0.2Ti0.8O2 for selective catalytic oxidation of ammonia ,Process Safety and Environmental Protection,2022/4/30
doi:10.1016/j.pnsc.2013.08.005,Highly dispersed iron species created on alkali-treated zeolite for ammonia SCR ,Progress in Natural Science: Materials International,2013/10/31
doi:10.1016/S0926-3373(99)00131-9,"Dual-bed catalytic system for NO
                  x
               –N2O removal: a practical application for lean-burn deNO
                  x
                HC-SCR ",Applied Catalysis B: Environmental,2000/3/6
doi:10.1016/j.cej.2016.03.049,MCM-41 modified with iron by template ion-exchange method as effective catalyst for DeNOx and NH3-SCO processes ,Chemical Engineering Journal,2016/7/1
doi:10.1016/j.chemosphere.2009.02.015,"Catalytic conversion of 1,2-dichlorobenzene using V2O5/TiO2 catalysts by a thermal decomposition process ",Chemosphere,2009/5/31
doi:10.1016/j.apcatb.2014.05.040,"Investigating the promotional effect of methanol on the low temperature SCR reaction on Ag/Al2O3
             ",Applied Catalysis B: Environmental,2014/11/30
doi:10.1016/j.apsusc.2020.147592,Effect of aluminum on the catalytic performance and reaction mechanism of Mn/MCM-41 for NH3-SCR reaction ,Applied Surface Science,2020/12/30
